,nb_days
1995,3.2
1996,3.8000000000000003
1997,3.7
1998,3.9000000000000004
1999,2.9000000000000004
2000,3.0000000000000004
2001,3.7000000000000006
2002,3.7000000000000006
2003,3.1000000000000005
2004,3.1000000000000005
2005,2.9000000000000004
2006,1.7000000000000002
2007,4.0
2008,5.3
2009,5.7
2010,6.000000000000001
2011,6.200000000000001
2012,7.100000000000001
2013,7.100000000000001
2014,8.200000000000001
2015,13.000000000000002
2016,13.100000000000003
2017,11.200000000000001
2018,11.700000000000001
2019,12.8
2020,14.600000000000001
2021,15.800000000000002
2022,19.8
2023,19.6
2024,19.1
2025,16.1
2026,17.700000000000003
2027,18.400000000000002
2028,18.1
2029,20.8
2030,23.200000000000003
2031,22.1
2032,19.700000000000003
2033,23.200000000000003
2034,24.900000000000002
2035,25.6
2036,29.5
2037,31.400000000000002
2038,32.4
2039,31.400000000000002
2040,31.1
2041,34.5
2042,34.9
2043,35.1
2044,41.00000000000001
2045,42.2
2046,42.00000000000001
2047,41.6
2048,43.4
2049,46.0
2050,47.0
2051,50.199999999999996
2052,51.1
2053,53.2
2054,51.5
2055,55.4
2056,59.20000000000001
2057,65.2
2058,68.7
2059,72.30000000000001
2060,70.70000000000002
2061,70.8
2062,72.8
2063,71.90000000000002
2064,69.20000000000002
2065,71.4
2066,69.60000000000001
2067,67.5
2068,63.0
2069,61.900000000000006
2070,62.900000000000006
2071,60.80000000000002
2072,62.80000000000001
2073,67.4
2074,73.70000000000002
2075,73.1
2076,74.60000000000001
2077,78.9
2078,85.10000000000001
2079,86.50000000000001
2080,90.9
2081,94.39999999999999
2082,98.5
2083,100.30000000000001
2084,98.5
2085,100.9
2086,102.30000000000001
2087,100.19999999999999
2088,98.5
2089,100.10000000000001
2090,102.4
2091,105.70000000000002
2092,105.4
2093,104.00000000000003
2094,107.30000000000001
2095,109.19999999999999
