,nb_days
1995,2.0
1996,2.6
1997,2.3000000000000003
1998,2.3000000000000003
1999,1.4000000000000001
2000,1.8000000000000003
2001,2.4000000000000004
2002,2.6
2003,3.0
2004,2.9
2005,3.6
2006,3.0
2007,5.0
2008,6.8
2009,8.6
2010,8.6
2011,8.8
2012,9.0
2013,9.7
2014,10.6
2015,9.9
2016,10.9
2017,10.2
2018,9.1
2019,8.600000000000001
2020,8.4
2021,8.3
2022,9.0
2023,9.200000000000001
2024,7.9
2025,9.8
2026,9.9
2027,15.600000000000001
2028,18.1
2029,17.900000000000002
2030,18.6
2031,19.8
2032,23.0
2033,22.5
2034,24.9
2035,28.2
2036,31.5
2037,26.800000000000008
2038,32.2
2039,34.7
2040,39.60000000000001
2041,43.400000000000006
2042,39.60000000000001
2043,44.4
2044,47.0
2045,47.00000000000001
2046,47.5
2047,52.400000000000006
2048,52.50000000000001
2049,50.00000000000001
2050,48.80000000000001
2051,50.5
2052,58.1
2053,61.2
2054,62.300000000000004
2055,67.00000000000001
2056,68.10000000000001
2057,70.4
2058,69.7
2059,76.5
2060,77.4
2061,77.5
2062,76.69999999999999
2063,79.2
2064,80.6
2065,85.10000000000001
2066,88.00000000000001
2067,89.60000000000002
2068,91.39999999999999
2069,97.5
2070,103.2
2071,108.0
2072,109.4
2073,111.0
2074,118.3
2075,116.19999999999999
2076,119.3
2077,121.79999999999998
2078,127.4
2079,128.4
2080,133.70000000000002
2081,135.6
2082,140.20000000000002
2083,144.9
2084,146.10000000000002
2085,144.20000000000002
2086,150.00000000000003
2087,154.70000000000002
2088,155.9
2089,158.6
2090,158.4
2091,163.29999999999998
2092,168.7
2093,170.1
2094,170.2
2095,178.10000000000002
