,nb_days
1995,1.0
1996,1.4
1997,1.4
1998,1.4
1999,1.4
2000,1.8
2001,2.4000000000000004
2002,2.6
2003,2.0
2004,2.9
2005,2.9000000000000004
2006,3.8
2007,3.9
2008,3.4
2009,4.700000000000001
2010,3.9
2011,3.7000000000000006
2012,5.7
2013,5.1000000000000005
2014,5.1000000000000005
2015,5.6
2016,3.3000000000000003
2017,5.6
2018,5.200000000000001
2019,6.300000000000001
2020,5.5
2021,5.5
2022,5.4
2023,3.5
2024,2.9000000000000004
2025,5.6000000000000005
2026,5.6000000000000005
2027,8.700000000000001
2028,8.6
2029,8.2
2030,9.8
2031,9.8
2032,10.5
2033,11.3
2034,13.900000000000002
2035,12.7
2036,12.7
2037,13.6
2038,13.6
2039,15.5
2040,21.300000000000004
2041,23.700000000000003
2042,24.1
2043,29.0
2044,32.5
2045,36.8
2046,38.5
2047,36.3
2048,36.50000000000001
2049,33.10000000000001
2050,34.5
2051,34.3
2052,34.2
2053,33.400000000000006
2054,35.6
2055,36.4
2056,38.4
2057,40.2
2058,43.70000000000001
2059,43.10000000000001
2060,43.3
2061,42.90000000000001
2062,45.00000000000001
2063,44.50000000000001
2064,49.20000000000001
2065,52.10000000000001
2066,60.0
2067,60.3
2068,59.1
2069,57.9
2070,57.1
2071,63.0
2072,67.2
2073,69.3
2074,72.60000000000001
2075,77.2
2076,81.7
2077,87.10000000000001
2078,90.1
2079,90.1
2080,91.70000000000002
2081,90.3
2082,93.20000000000002
2083,98.1
2084,104.70000000000002
2085,104.1
2086,106.6
2087,109.9
2088,111.0
2089,111.3
2090,115.8
2091,116.70000000000002
2092,121.50000000000004
2093,122.20000000000002
2094,122.6
2095,123.9
