,nb_days
1995,4.9
1996,5.300000000000001
1997,5.6000000000000005
1998,7.900000000000001
1999,7.900000000000001
2000,9.1
2001,9.400000000000002
2002,10.000000000000002
2003,9.8
2004,9.8
2005,9.8
2006,10.6
2007,9.2
2008,9.2
2009,9.3
2010,11.3
2011,10.0
2012,12.3
2013,16.1
2014,17.8
2015,18.3
2016,17.8
2017,23.3
2018,20.6
2019,21.5
2020,24.9
2021,26.500000000000004
2022,26.90000000000001
2023,25.600000000000005
2024,29.90000000000001
2025,31.200000000000003
2026,34.8
2027,37.7
2028,37.7
2029,44.400000000000006
2030,48.90000000000001
2031,52.49999999999999
2032,53.2
2033,58.79999999999999
2034,59.39999999999999
2035,60.99999999999999
2036,61.0
2037,62.1
2038,61.20000000000002
2039,63.80000000000001
2040,63.3
2041,68.10000000000001
2042,73.9
2043,75.8
2044,76.7
2045,76.10000000000001
2046,83.4
2047,84.60000000000001
2048,87.10000000000001
2049,89.80000000000001
2050,90.2
2051,96.0
2052,92.4
2053,95.8
2054,100.5
2055,103.6
2056,106.6
2057,112.5
2058,116.1
2059,121.1
2060,125.2
2061,123.9
2062,130.5
2063,133.4
2064,137.20000000000002
2065,138.2
2066,141.0
2067,141.2
2068,142.6
2069,142.9
2070,146.4
2071,151.89999999999998
2072,150.8
2073,155.1
2074,154.3
2075,158.20000000000002
2076,164.8
2077,164.90000000000003
2078,166.60000000000002
2079,170.6
2080,171.49999999999997
2081,170.89999999999998
2082,175.5
2083,178.8
2084,180.7
2085,180.4
2086,182.7
2087,186.8
2088,190.90000000000003
2089,192.1
2090,194.2
2091,199.5
2092,197.9
2093,199.4
2094,200.2
2095,202.4
