,nb_days
1995,4.9
1996,5.300000000000001
1997,5.6000000000000005
1998,7.900000000000001
1999,7.900000000000001
2000,9.1
2001,9.400000000000002
2002,10.000000000000002
2003,9.8
2004,9.8
2005,9.8
2006,10.6
2007,9.2
2008,9.2
2009,9.3
2010,11.3
2011,10.0
2012,10.1
2013,12.5
2014,11.6
2015,14.2
2016,15.2
2017,18.1
2018,18.3
2019,21.5
2020,25.40000000000001
2021,22.6
2022,27.300000000000004
2023,30.6
2024,36.30000000000001
2025,35.300000000000004
2026,38.0
2027,38.900000000000006
2028,44.10000000000001
2029,40.5
2030,39.4
2031,38.9
2032,41.7
2033,41.8
2034,42.30000000000001
2035,41.3
2036,45.2
2037,49.8
2038,49.50000000000001
2039,50.70000000000001
2040,48.900000000000006
2041,50.7
2042,49.6
2043,53.8
2044,56.4
2045,58.7
2046,60.9
2047,59.60000000000001
2048,64.1
2049,67.7
2050,68.10000000000001
2051,70.20000000000002
2052,73.0
2053,77.20000000000002
2054,78.39999999999999
2055,82.4
2056,84.50000000000001
2057,84.9
2058,85.9
2059,87.9
2060,94.0
2061,99.4
2062,99.5
2063,97.90000000000002
2064,99.40000000000002
2065,99.0
2066,103.1
2067,103.6
2068,102.5
2069,98.0
2070,99.7
2071,94.1
2072,93.0
2073,96.4
2074,99.8
2075,102.9
2076,101.3
2077,103.3
2078,107.3
2079,113.70000000000002
2080,116.6
2081,121.7
2082,121.8
2083,123.6
2084,122.90000000000002
2085,120.30000000000004
2086,120.0
2087,118.4
2088,120.30000000000004
2089,122.20000000000002
2090,124.5
2091,124.6
2092,123.6
2093,122.3
2094,123.6
2095,126.1
