,nb_days
1995,1.0
1996,1.4
1997,1.4
1998,1.4
1999,1.4
2000,1.8
2001,2.4000000000000004
2002,2.6
2003,2.0
2004,2.9
2005,2.9000000000000004
2006,3.8
2007,3.9
2008,3.4
2009,4.700000000000001
2010,3.9
2011,5.4
2012,5.7
2013,6.0
2014,6.2
2015,5.4
2016,5.4
2017,4.1000000000000005
2018,4.1000000000000005
2019,4.800000000000001
2020,7.899999999999999
2021,7.4
2022,6.200000000000001
2023,6.000000000000001
2024,7.4
2025,8.5
2026,9.2
2027,7.6
2028,7.3
2029,13.5
2030,10.8
2031,12.3
2032,13.6
2033,14.400000000000002
2034,14.4
2035,11.0
2036,11.8
2037,11.6
2038,12.000000000000002
2039,13.7
2040,14.1
2041,11.9
2042,13.700000000000005
2043,16.300000000000004
2044,20.600000000000005
2045,19.800000000000004
2046,15.0
2047,21.9
2048,29.8
2049,23.8
2050,22.9
2051,20.1
2052,22.0
2053,21.899999999999995
2054,20.1
2055,20.4
2056,22.5
2057,29.3
2058,26.600000000000005
2059,27.4
2060,31.3
2061,29.6
2062,26.7
2063,34.2
2064,34.0
2065,28.4
2066,27.3
2067,25.8
2068,27.6
2069,36.7
2070,36.5
2071,34.400000000000006
2072,28.6
2073,35.800000000000004
2074,36.7
2075,35.900000000000006
2076,33.900000000000006
2077,40.400000000000006
2078,44.2
2079,37.8
2080,42.50000000000001
2081,41.5
2082,43.3
2083,37.00000000000001
2084,43.0
2085,41.0
2086,38.7
2087,39.0
2088,38.4
2089,39.400000000000006
2090,41.4
2091,40.7
2092,41.3
2093,45.400000000000006
2094,47.2
2095,49.50000000000001
