,nb_days
1995,2.3000000000000003
1996,3.2
1997,3.9
1998,4.0
1999,4.5
2000,3.9
2001,4.5
2002,4.8
2003,4.9
2004,5.500000000000001
2005,5.800000000000001
2006,5.7
2007,5.7
2008,6.9
2009,7.900000000000001
2010,6.9
2011,8.0
2012,8.4
2013,8.4
2014,8.4
2015,9.3
2016,9.500000000000002
2017,11.400000000000002
2018,11.8
2019,11.6
2020,12.000000000000002
2021,13.1
2022,15.8
2023,14.4
2024,15.7
2025,15.200000000000005
2026,16.5
2027,15.900000000000002
2028,17.700000000000003
2029,19.5
2030,19.1
2031,18.8
2032,18.200000000000003
2033,20.9
2034,22.4
2035,23.0
2036,23.3
2037,26.000000000000007
2038,24.4
2039,24.6
2040,25.6
2041,25.4
2042,26.9
2043,27.9
2044,27.600000000000005
2045,28.4
2046,31.600000000000005
2047,31.100000000000005
2048,32.800000000000004
2049,35.300000000000004
2050,38.7
2051,41.4
2052,39.4
2053,39.8
2054,42.2
2055,46.5
2056,48.3
2057,48.8
2058,46.3
2059,49.8
2060,54.8
2061,54.7
2062,55.99999999999999
2063,58.2
2064,57.3
2065,60.8
2066,57.5
2067,57.2
2068,51.5
2069,54.60000000000001
2070,54.90000000000001
2071,52.90000000000001
2072,56.400000000000006
2073,56.10000000000001
2074,58.5
2075,56.6
2076,58.9
2077,61.400000000000006
2078,64.5
2079,62.70000000000001
2080,68.00000000000001
2081,64.80000000000001
2082,65.0
2083,64.5
2084,67.7
2085,62.8
2086,70.9
2087,71.0
2088,69.60000000000001
2089,74.6
2090,74.1
2091,77.8
2092,77.7
2093,80.20000000000002
2094,84.70000000000002
2095,86.30000000000001
