time,HI
1985-01-01,35.70997028810001
1985-01-02,34.75265319249999
1985-01-03,33.025918
1985-01-04,32.55740590719999
1985-01-05,31.535257039999976
1985-01-06,32.58077428360002
1985-01-07,33.67150950999998
1985-01-08,31.01380440469997
1985-01-09,34.72887686900001
1985-01-10,31.2150728
1985-01-11,31.489831048000013
1985-01-12,34.61404416879999
1985-01-13,33.471692038799965
1985-01-14,26.541
1985-01-15,26.47300000000001
1985-01-16,28.836425457600008
1985-01-17,34.11159985519998
1985-01-18,32.42191300000002
1985-01-19,30.52957347499996
1985-01-20,34.129083199400014
1985-01-21,34.53791768
1985-01-22,31.316413682
1985-01-23,32.811813687999994
1985-01-24,33.00075749670006
1985-01-25,31.72600741960003
1985-01-26,32.447546339999974
1985-01-27,33.76747252869997
1985-01-28,33.88962788999994
1985-01-29,32.55968381749996
1985-01-30,35.64701365000001
1985-01-31,33.00520711370004
1985-02-01,34.26950986680002
1985-02-02,32.2527264565
1985-02-03,33.04686725149999
1985-02-04,33.88267901650003
1985-02-05,33.016923734
1985-02-06,33.59690499720001
1985-02-07,33.24657605000003
1985-02-08,34.78021311350004
1985-02-09,32.83839993999999
1985-02-10,35.79590509250002
1985-02-11,29.52904229810004
1985-02-12,31.737398629
1985-02-13,34.07677081330004
1985-02-14,35.25067637199997
1985-02-15,34.488765804000046
1985-02-16,35.45768470339998
1985-02-17,33.02290282200001
1985-02-18,34.68766478660001
1985-02-19,34.75196834000008
1985-02-20,32.32857914827777
1985-02-21,31.23113301200003
1985-02-22,33.30670627000002
1985-02-23,34.68766478660001
1985-02-24,34.97125619000002
1985-02-25,31.06629703440004
1985-02-26,35.690999128400016
1985-02-27,34.22566351489996
1985-02-28,33.02923735749998
1985-03-01,29.81028886749996
1985-03-02,33.81393589249997
1985-03-03,37.0704409304
1985-03-04,34.07505292999994
1985-03-05,33.46255085239998
1985-03-06,33.897202879999945
1985-03-07,36.84415246000003
1985-03-08,34.54769277540002
1985-03-09,34.75265319249999
1985-03-10,33.03012998810001
1985-03-11,32.27569252360001
1985-03-12,32.092613124
1985-03-13,32.68117097200003
1985-03-14,33.246189299999955
1985-03-15,32.61606457399998
1985-03-16,32.267299786299986
1985-03-17,31.55649392089997
1985-03-18,32.462228023999984
1985-03-19,31.906564311600025
1985-03-20,32.092613124
1985-03-21,31.0637742232
1985-03-22,32.83938462499994
1985-03-23,33.88962788999994
1985-03-24,32.648820046100035
1985-03-25,33.208129176
1985-03-26,33.254259964
1985-03-27,32.3855251948
1985-03-28,34.07505292999994
1985-03-29,34.07505292999994
1985-03-30,33.67091441999999
1985-03-31,33.246189299999955
1985-04-01,30.768965007999974
1985-04-02,30.769968934999984
1985-04-03,32.648820046100035
1985-04-04,32.757638109999995
1985-04-05,33.00075749670006
1985-04-06,34.09673519199999
1985-04-07,32.27179058749995
1985-04-08,33.049998465200034
1985-04-09,31.453071390000023
1985-04-10,30.43494529920001
1985-04-11,30.921952047499964
1985-04-12,32.648820046100035
1985-04-13,31.07702348000001
1985-04-14,28.83140763250003
1985-04-15,28.858960393900013
1985-04-16,30.657805543999984
1985-04-17,31.166835072799977
1985-04-18,30.10816093200005
1985-04-19,28.144037486
1985-04-20,30.48957963750003
1985-04-21,31.55649392089997
1985-04-22,31.23708274249993
1985-04-23,26.382000000000005
1985-04-24,29.760263128000062
1985-04-25,30.62816437000003
1985-04-26,30.050635779200007
1985-04-27,25.437
1985-04-28,31.91409432199999
1985-04-29,29.64926322590001
1985-04-30,28.997015701
1985-05-01,27.54174486200001
1985-05-02,28.36763801150003
1985-05-03,28.186347059199967
1985-05-04,28.38962444510002
1985-05-05,28.95399269749999
1985-05-06,29.07549836399999
1985-05-07,28.81948717650002
1985-05-08,29.07549836399999
1985-05-09,30.050635779200007
1985-05-10,31.436340599899967
1985-05-11,29.48205048920004
1985-05-12,28.64085072289999
1985-05-13,28.827757002700032
1985-05-14,28.89721793609998
1985-05-15,29.698015048799988
1985-05-16,29.14241368
1985-05-17,28.604626546
1985-05-18,27.156470810000013
1985-05-19,27.25382682449999
1985-05-20,27.16906671759997
1985-05-21,27.596901680699983
1985-05-22,26.581000000000003
1985-05-23,27.420606599999985
1985-05-24,27.072165770000005
1985-05-25,27.58651695440001
1985-05-26,27.598920053600008
1985-05-27,27.874997950000004
1985-05-28,26.293000000000003
1985-05-29,25.742000000000004
1985-05-30,25.663000000000004
1985-05-31,26.135000000000005
1985-06-01,26.057
1985-06-02,27.754634718099965
1985-06-03,26.646
1985-06-04,27.874997950000004
1985-06-05,25.779000000000003
1985-06-06,25.806
1985-06-07,25.977
1985-06-08,25.991
1985-06-09,27.309041938200004
1985-06-10,26.555
1985-06-11,26.502
1985-06-12,25.779000000000003
1985-06-13,27.3198309196
1985-06-14,26.371
1985-06-15,26.173
1985-06-16,28.08632019999997
1985-06-17,27.646890170000027
1985-06-18,28.538814280000032
1985-06-19,28.23154203570001
1985-06-20,27.67362556000002
1985-06-21,26.528
1985-06-22,26.332
1985-06-23,26.045
1985-06-24,25.452
1985-06-25,25.073
1985-06-26,24.824
1985-06-27,24.875
1985-06-28,25.046000000000003
1985-06-29,25.926
1985-06-30,25.071
1985-07-01,25.242
1985-07-02,25.255000000000003
1985-07-03,25.375
1985-07-04,23.655
1985-07-05,24.573
1985-07-06,25.544
1985-07-07,25.044
1985-07-08,26.437
1985-07-09,25.701
1985-07-10,26.463
1985-07-11,26.411
1985-07-12,26.581000000000003
1985-07-13,25.846000000000004
1985-07-14,27.576047427699955
1985-07-15,26.043
